59.124.81.19,#genre#
NHK世界HD,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1414.m3u8
HBO,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1354.m3u8
AXN,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1486.m3u8
鏡電視新聞台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1090.m3u8
CINEMAX ,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1534.m3u8
AMC 電影台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1438.m3u8
台視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1566.m3u8
中視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1565.m3u8
華視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1342.m3u8
民視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live1564.m3u8
廈門衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2571.m3u8
CCTV4,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2565.m3u8
海峽衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2559.m3u8
浙江衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2577.m3u8
東方衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2608.m3u8
湖南衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2583.m3u8
鳯凰衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2596.m3u8
CNBC,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2626.m3u8
鳯凰中文台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2602.m3u8
DAZN 1,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2638.m3u8
DAZN 2,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2644.m3u8
Taiwan Plus,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2650.m3u8
公視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2706.m3u8
民視新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2712.m3u8
緯來電影,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2693.m3u8
緯來戲劇,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2699.m3u8
東風衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2669.m3u8
年代新聞台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2663.m3u8
MUCH TV,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2657.m3u8
人間衛視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2675.m3u8
八大戲劇,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2681.m3u8
超視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2687.m3u8
大愛電視,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2718.m3u8
好消息GOOD TV,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2741.m3u8
中天新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2745.m3u8
壹新聞,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2749.m3u8
龍華卡通台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2753.m3u8
龍華日韓劇,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2761.m3u8
龍華偶像劇,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2765.m3u8
龍華戲劇台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2757.m3u8
龍華電影台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2769.m3u8
亞洲旅遊,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2773.m3u8
TVBS新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2778.m3u8
TVBS HD,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2781.m3u8
TVBS歡樂HD,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2784.m3u8
尼克兒童頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2793.m3u8
nickjr.小尼克,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2796.m3u8
MTV Live音樂頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2799.m3u8
DreamWorks,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2807.m3u8
達文西頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2787.m3u8
華藝中文台,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2816.m3u8
搖滾電影頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2790.m3u8
探索世界頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2803.m3u8
搖滾娛樂頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2810.m3u8
愛自然頻道,http://mushui.serv00.net/mqlive.php?ip=59.124.81.19&url=http://59.124.81.19:5003/live2813.m3u8
59.125.210.231,#genre#
台視新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8876/live1101.m3u8
中視新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8875/live1100.m3u8
華視新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8874/live1099.m3u8
民視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8807/live1008.m3u8
中視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8812/live1033.m3u8
台視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8814/live1035.m3u8
大愛一台 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8804/live1005.m3u8
公視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8815/live1037.m3u8
華視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8813/live1036.m3u8
公視2 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8500/live1127.m3u8
公視3 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8501/live1128.m3u8
民視台灣HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8507/live1134.m3u8
民視第一台HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8502/live1129.m3u8
華視教育文化HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8503/live1135.m3u8
客家電視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8505/live1137.m3u8
原民電視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8504/live1138.m3u8
台視綜合,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8506/live1139.m3u8
台視財經,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8508/live1140.m3u8
MOMO親子台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8514/live1166.m3u8
動物星球 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8827/live1046.m3u8
金鷹卡通HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8816/live1038.m3u8
東森幼幼HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8515/live1167.m3u8
緯來綜合HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8809/live1030.m3u8
八大第一HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8822/live1023.m3u8
八大綜合HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8821/live1022.m3u8
三立台灣台 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8516/live1168.m3u8
三立都會台 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8517/live1169.m3u8
東風衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8525/live1221.m3u8
東森綜合HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8519/live1171.m3u8
東森超視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8520/live1172.m3u8
Discovery HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8829/live1049.m3u8
探索科學 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8521/live1173.m3u8
中天綜合 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8522/live1174.m3u8
緯來精采HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8567/live1219.m3u8
居家樂活HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8568/live1220.m3u8
中天娛樂 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8523/live1175.m3u8
東森戲劇HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8524/live1176.m3u8
八大戲劇HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8823/live1024.m3u8
緯來戲劇 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8811/live1032.m3u8
好萊塢電影HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8817/live1039.m3u8
歷史頻道 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8526/live1178.m3u8
三立戲劇HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8527/live1179.m3u8
龍翔電影HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8528/live1180.m3u8
龍華洋片HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8529/live1181.m3u8
TLC旅遊頻道HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8848/live1071.m3u8
年代新聞,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8831/live1051.m3u8
東森新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8806/live1007.m3u8
中天新聞 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8513/live1165.m3u8
民視新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8832/live1053.m3u8
三立新聞 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8530/live1182.m3u8
東森財經HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8533/live1185.m3u8
非凡新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8836/live1057.m3u8
壹新聞HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8820/live1021.m3u8
三立財經 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8534/live1186.m3u8
amc HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8535/live1187.m3u8
東森電影HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8536/live1188.m3u8
緯來電影HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8810/live1031.m3u8
JET綜合台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8537/live1189.m3u8
華納電影HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8538/live1190.m3u8
東森洋片HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8539/live1191.m3u8
AXN洋片 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8842/live1064.m3u8
cinema world HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8847/live1113.m3u8
緯來體育HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8819/live1020.m3u8
愛爾達體育1台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8854/live1077.m3u8
愛爾達體育2台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8865/live1088.m3u8
緯來日本HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8828/live1048.m3u8
Z頻道,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8843/live1065.m3u8
博斯體育1HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8857/live1080.m3u8
博斯體育2HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8858/live1081.m3u8
國興衛視 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8869/live1093.m3u8
HBO HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8540/live1192.m3u8
HBO家庭HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8541/live1193.m3u8
HBO強檔HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8542/live1194.m3u8
HBO原創HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8543/live1195.m3u8
探索動力 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8830/live1052.m3u8
韓國娛樂 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8999/live1047.m3u8
國會頻道1,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8510/live1142.m3u8
國會頻道2,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8509/live1143.m3u8
中視經典,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8511/live1144.m3u8
中視菁采,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8512/live1145.m3u8
信吉電視 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8544/live1196.m3u8
人間衛視,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8545/live1197.m3u8
佛衛慈悲,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8546/live1198.m3u8
信大電視 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8547/live1199.m3u8
大愛二台HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8548/live1200.m3u8
好消息二台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8549/live1201.m3u8
BS朝日,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8550/live1202.m3u8
JSPORT-1,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8552/live1204.m3u8
JSPORT-2,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8553/live1205.m3u8
美亞電影-粵語,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8554/live1206.m3u8
CatchPlay HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8555/live1207.m3u8
美亞電影 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8556/live1208.m3u8
Look HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8557/live1209.m3u8
彩虹電影,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8558/live1210.m3u8
松視一台 HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8559/live1211.m3u8
彩虹E台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8560/live1212.m3u8
松視二台HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8561/live1213.m3u8
驚艷台HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8562/live1214.m3u8
潘多拉完美,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8564/live1216.m3u8
香蕉台,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8566/live1218.m3u8
湖南衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8883/live1118.m3u8
浙江衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8551/live1203.m3u8
北京衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8860/live1083.m3u8
上海衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8862/live1085.m3u8
江蘇衛視HD,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8859/live1082.m3u8
中天新闻,http://mushui.serv00.net/mqlive.php?ip=59.125.210.231&url=http://59.125.210.231:8518/live1222.m3u8
60.248.127.232,#genre#
台視新聞HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8876/live1101.m3u8
中視新聞HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8875/live1100.m3u8
華視新聞HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8874/live1099.m3u8
民視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8807/live1008.m3u8
中視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8812/live1033.m3u8
台視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8814/live1035.m3u8
大愛一台 HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8804/live1005.m3u8
公視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8815/live1037.m3u8
華視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8813/live1036.m3u8
公視2 HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8500/live1127.m3u8
公視3 HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8501/live1128.m3u8
民視台灣HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8507/live1134.m3u8
民視第一台HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8502/live1129.m3u8
華視教育文化HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8503/live1135.m3u8
客家電視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8505/live1137.m3u8
原民電視HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8504/live1138.m3u8
台視綜合,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8506/live1139.m3u8
台視財經,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8508/live1140.m3u8
MOMO親子台,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8514/live1166.m3u8
動物星球 HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8827/live1046.m3u8
金鷹卡通HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8816/live1038.m3u8
東森幼幼HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8515/live1167.m3u8
緯來綜合HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8809/live1030.m3u8
八大第一HD,http://mushui.serv00.net/mqlive.php?ip=60.248.127.232&url=http://60.248.127.232:8822/live1023.m3u8
